 table_schema |             table_name             |          column_name          |          data_type          
--------------+------------------------------------+-------------------------------+-----------------------------
 itsm_inf     | if_itsm_tb_csr_batch               | eai_seq_id                    | character varying
 itsm_inf     | if_itsm_tb_csr_batch               | csr_no                        | character varying
 itsm_inf     | if_itsm_tb_csr_batch               | seq                           | numeric
 itsm_inf     | if_itsm_tb_csr_batch               | itsm_id                       | character varying
 itsm_inf     | if_itsm_tb_csr_batch               | approve_gbn                   | character varying
 itsm_inf     | if_itsm_tb_csr_batch               | req_empno                     | character varying
 itsm_inf     | if_itsm_tb_csr_batch               | conn_url                      | character varying
 itsm_inf     | if_itsm_tb_csr_batch               | data_interface_date           | timestamp without time zone
 itsm_inf     | if_itsm_tb_csr_batch               | eai_transfer_flag             | character varying
 itsm_inf     | if_itsm_tb_csr_batch               | eai_transfer_date             | timestamp without time zone
 itsm_inf     | if_itsm_tb_csr_batch               | eai_transfer_cd               | double precision
 itsm_inf     | if_itsm_tb_csr_batch               | eai_transfer_msg              | character varying
 itsm_inf     | if_itsm_tb_csr_batch               | sys_aply_rspber               | character varying
 itsm_inf     | if_itsm_tb_itr001_s                | eai_seq_id                    | bigint
 itsm_inf     | if_itsm_tb_itr001_s                | csr_no                        | character varying
 itsm_inf     | if_itsm_tb_itr001_s                | seq                           | numeric
 itsm_inf     | if_itsm_tb_itr001_s                | req_dt                        | timestamp without time zone
 itsm_inf     | if_itsm_tb_itr001_s                | corp_cd                       | character varying
 itsm_inf     | if_itsm_tb_itr001_s                | biz_type                      | character varying
 itsm_inf     | if_itsm_tb_itr001_s                | biz_sys_cd                    | character varying
 itsm_inf     | if_itsm_tb_itr001_s                | title                         | character varying
 itsm_inf     | if_itsm_tb_itr001_s                | stat_cd                       | character varying
 itsm_inf     | if_itsm_tb_itr001_s                | complete_yn                   | character varying
 itsm_inf     | if_itsm_tb_itr001_s                | req_empno                     | character varying
 itsm_inf     | if_itsm_tb_itr001_s                | rspber_empno                  | character varying
 itsm_inf     | if_itsm_tb_itr001_s                | data_interface_date           | timestamp without time zone
 itsm_inf     | if_itsm_tb_itr001_s                | eai_transfer_flag             | character varying
 itsm_inf     | if_itsm_tb_itr001_s                | eai_transfer_date             | timestamp without time zone
 itsm_inf     | if_itsm_tb_itr001_s                | eai_transfer_msg              | character varying
